code,material,description,source,source_two,source_three,parent_code,direct,single_use,micro,ospar_id
G179,Metal,Disposable BBQs,Recreation,Where does it come from,0,Parent code,True,False,False,120
G180,Metal,Appliances,Utility items,Where does it come from,0,Parent code,True,False,False,79
G181,Metal,"Tableware metal;  cups, cutlery etc.",Food,Where does it come from,none,Parent code,True,False,False,89
G182,Metal,"Fishing; hooks, weights, lures, sinkers etc.",Fishing,Where does it come from,none,Parent code,True,False,False,80
G185,Metal,Middle size containers,Utility items,Where does it come from,0,Parent code,True,False,False,89
G186,Metal,Industrial scrap,Undefined,Where does it come from,0,Parent code,True,False,False,83
G188,Metal,Other cans < 4 L,Packaging,Where does it come from,none,Parent code,True,False,False,89
G190,Metal,Paint cans,Packaging,Where does it come from,0,Parent code,True,False,False,86
G191,Metal,Wire and mesh,Utility items,Where does it come from,0,Parent code,True,False,False,88
G193,Metal,car parts and batteries,Vehicle,Where does it come from,0,Parent code,True,False,False,83
G194,Metal,"Cables, metal wire(s) often inside rubber or plastic tubes",Construction,Electronics,none,Parent code,False,False,False,89
G195,Metal,Batteries - household,Utility items,Where does it come from,0,Parent code,True,False,False,89
G197,Metal,Other metal,Undefined,Where does it come from,0,Parent code,True,False,False,89
G198,Metal,Other metal pieces < 50cm,Undefined,Where does it come from,0,Parent code,True,False,False,89
G199,Metal,Other metal pieces > 50cm,Undefined,Where does it come from,0,Parent code,True,False,False,90
G146,Paper,"Paper, cardboard",Undefined,Where does it come from,0,Parent code,True,False,False,61
G147,Paper,Paper bags,Packaging,Where does it come from,0,Parent code,True,False,False,60
G148,Paper,Cardboard (boxes and fragments),Packaging,Where does it come from,0,Parent code,True,False,False,61
G149,Paper,Paper packaging,Packaging,Where does it come from,0,Parent code,True,False,False,62
G150,Paper,"Milk cartons, tetrapack",Packaging,Where does it come from,none,Parent code,True,False,False,118
G151,Paper,"Cartons, Tetrapacks",Packaging,Where does it come from,none,Parent code,True,False,False,62
G152,Paper,"Cigarette boxes, tobacco related paper/cardboard",Tobacco,Where does it come from,none,Parent code,True,False,False,63
G153,Paper,"Cups, food containers, wrappers (paper)",Packaging,Food and drink,none,Parent code,True,True,False,67
G154,Paper,Newspapers or magazines,Utility items,Where does it come from,0,Parent code,True,False,False,66
G155,Paper,Fireworks paper tubes and fragments,Recreation,Where does it come from,none,Parent code,True,False,False,67
G156,Paper,Paper fragments,Undefined,Where does it come from,0,Parent code,True,False,False,67
G157,Paper,Paper,Undefined,Where does it come from,0,Parent code,True,False,False,67
G158,Paper,Other paper items,Undefined,Where does it come from,0,Parent code,True,False,False,67
G1,Plastic,Six pack rings,Packaging,Food and drink,none,Parent code,True,True,False,1
G10,Plastic,Food containers single use foamed or plastic,Packaging,Food and drink,Direct,Parent code,True,True,False,6
G100,Plastic,Medical; containers/tubes/ packaging,Medical,Water Treatment,none,Parent code,False,True,False,103
G101,Plastic,Dog feces bag,Utility items,Where does it come from,0,Parent code,True,False,False,121
G102,Plastic,Flip-flops,Clothing,Where does it come from,0,Parent code,True,False,False,44
G103,Plastic,Plastic fragments rounded <5mm,Undefined,Where does it come from,none,Parent code,True,False,True,117
G104,Plastic,Plastic fragments subrounded <5mm,Undefined,Where does it come from,none,Parent code,True,False,True,117
G105,Plastic,Plastic fragments subangular <5mm,Undefined,Where does it come from,none,Parent code,True,False,True,117
G106,Plastic,Plastic fragments angular <5mm,Undefined,Where does it come from,none,Parent code,True,False,True,117
G107,Plastic,Cylindrical pellets < 5mm,Industry,Where does it come from,none,Parent code,True,False,True,117
G108,Plastic,disk pellets  <5mm,Industry,Where does it come from,Indirect,Parent code,True,False,True,117
G109,Plastic,Flat pellets  <5mm,Industry,Where does it come from,Indirect,Parent code,True,False,True,117
G11,Plastic,"Cosmetics for the beach, e.g. sunblock",Personal hygiene,Where does it come from,none,Parent code,True,True,False,7
G111,Plastic,Spheruloid pellets < 5mm,Industry,Where does it come from,Indirect,Parent code,True,False,True,117
G112,Plastic,Industrial pellets (nurdles),Industry,Where does it come from,Indirect,Parent code,False,False,True,117
G113,Plastic,Filaments  <5mm,Undefined,Where does it come from,Indirect,Parent code,True,False,True,117
G114,Plastic,Films  <5mm,Undefined,Where does it come from,Indirect,Parent code,True,False,True,117
G115,Plastic,Foamed  plastic <5mm,Undefined,Where does it come from,none,Parent code,True,False,True,117
G116,Plastic,Granules <5mm,Industry,Where does it come from,Indirect,Parent code,True,False,True,117
G117,Plastic,Styrofoam < 5mm,Undefined,Where does it come from,none,Parent code,True,False,True,117
G118,Plastic,Small industrial spheres <5mm,Industry,Where does it come from,Indirect,Parent code,True,False,True,117
G119,Plastic,Sheetlike user plastic (>1mm),Undefined,Where does it come from,0,Parent code,True,False,False,117
G12,Plastic,"Cosmetics, non-beach use personal care containers",Personal hygiene,Where does it come from,none,Parent code,False,True,False,7
G122,Plastic,Plastic fragments ( >1mm),Undefined,Where does it come from,0,Parent code,True,False,False,117
G123,Plastic,Polyurethane granules < 5mm,Industry,Where does it come from,Indirect,Parent code,True,False,True,117
G124,Plastic,Other plastic or foam products,Undefined,Where does it come from,0,Parent code,True,False,False,48
G13,Plastic,"Bottles, containers, drums to transport, store material",Packaging,Industry,none,Parent code,False,False,False,12
G14,Plastic,Engine oil bottles,Packaging,Where does it come from,0,Parent code,True,False,False,8
G17,Plastic,Injection gun cartridge,Packaging,Where does it come from,0,Parent code,True,False,False,11
G19,Plastic,Car parts,Vehicle,Where does it come from,0,Parent code,True,False,False,14
G2,Plastic,Bags,Packaging,Where does it come from,none,Parent code,True,True,False,2
G20,Plastic,Caps and lids,Packaging,Where does it come from,none,Parent code,True,True,False,15
G21,Plastic,Drink lids,Packaging,Food and drinks,none,Parent code,True,False,False,15
G22,Plastic,"Lids for chemicals, detergents (non-food)",Packaging,Where does it come from,none,Parent code,True,False,False,15
G23,Plastic,Lids unidentified,Packaging,Where does it come from,0,Parent code,True,False,False,15
G24,Plastic,Lid/cap rings from plastic bottles/containers,Packaging,Where does it come from,none,Parent code,True,True,False,15
G25,Plastic,"Tobacco; plastic  packaging, containers",Tobacco,Smoking related,Direct,Parent code,True,True,False,48
G26,Plastic,Cigarette lighters,Tobacco,Where does it come from,none,Parent code,True,False,False,16
G27,Plastic,Cigarette butts and filters,Tobacco,Where does it come from,none,Parent code,True,True,False,64
G28,Plastic,"Pens, lids, mechanical pencils etc.",Utility items,Where does it come from,Direct,Parent code,True,False,False,17
G29,Plastic,"Combs, brushes and sunglasses",Utility items,Where does it come from,Direct,Parent code,True,False,False,18
G3,Plastic,Bags; plastic shopping/carrier/grocery and pieces,Packaging,Food and drink,none,Parent code,True,True,False,2
G30,Plastic,"Food wrappers; candy, snack packaging",Packaging,Food and drink,none,Parent code,True,True,False,19
G31,Plastic,Lollypop sticks,Packaging,Food and drink,none,Parent code,True,True,False,19
G32,Plastic,Toys and party favors,Recreation,Where does it come from,none,Parent code,True,False,False,20
G33,Plastic,"Cups, lids, single use foamed and hard plastic",Packaging,Food and drink,Direct,Parent code,True,True,False,21
G34,Plastic,"Cutlery, plates and trays",Food,Where does it come from,none,Parent code,True,True,False,22
G35,Plastic,Straws and stirrers,Food,none,none,Parent code,True,True,False,22
G36,Plastic,"Bags/sacks heavy duty plastic for 25 Kg or more; animal feed, fertilizers, garden trash etc.",Packaging,Where does it come from,Indirect,Parent code,True,True,False,23
G37,Plastic,Mesh bags,Packaging,Where does it come from,0,Parent code,True,False,False,24
G38,Plastic,"Coverings; plastic packaging, sheeting for protecting large cargo items",Packaging,Industrial,none,Parent code,False,True,False,40
G39,Plastic,Gloves,Clothing,Where does it come from,0,Parent code,True,False,False,25
G4,Plastic,"Small plastic bags; freezer, zip-lock etc.",Packaging,Food and drink,Medical,Parent code,True,True,False,3
G40,Plastic,Gloves household/gardening,Clothing,Where does it come from,none,Parent code,True,False,False,25
G41,Plastic,Glove industrial/professional,Clothing,Where does it come from,none,Parent code,True,False,False,113
G43,Plastic,"Tags fishing or industry (security tags, seals)",Utility items,Where does it come from,none,Parent code,False,False,False,114
G48,Plastic,"Rope, synthetic",Utility items,Boating,Construction,Parent code,False,False,False,32
G49,Plastic,Rope > 1cm,Utility items,Where does it come from,0,Parent code,True,False,False,31
G5,Plastic,Generic plastic bags,Packaging,Where does it come from,0,Parent code,True,False,False,112
G50,Plastic,String < 1cm,Utility items,Where does it come from,0,Parent code,True,False,False,32
G52,Plastic,Nets and pieces,Fishing,Where does it come from,0,Parent code,True,False,False,115
G53,Plastic,Nets and pieces < 50cm,Fishing,Where does it come from,0,Parent code,True,False,False,115
G55,Plastic,Fishing line (entangled),Fishing,Where does it come from,0,Parent code,True,False,False,35
G56,Plastic,Tangled nets,Fishing,Where does it come from,0,Parent code,True,False,False,33
G59,Plastic,Fishing line monofilament (angling),Fishing,Where does it come from,0,Parent code,True,False,False,35
G6,Plastic,"Bottles and containers, plastic non food/drink",Packaging,Where does it come from,Direct,Parent code,True,True,False,11
G60,Plastic,Light sticks,Fishing,Where does it come from,0,Parent code,True,False,False,36
G61,Plastic,Other fishing related,Fishing,Where does it come from,0,Parent code,True,False,False,48
G62,Plastic,Floats for nets,Fishing,Where does it come from,0,Parent code,True,False,False,37
G63,Plastic,Buoys,Undefined,Where does it come from,0,Parent code,True,False,False,37
G64,Plastic,Fenders,Vehicle,Where does it come from,0,Parent code,True,False,False,14
G65,Plastic,Buckets,Utility items,Where does it come from,0,Parent code,True,False,False,38
G66,Plastic,"Straps/bands;  hard, plastic package fastener",Packaging,Where does it come from,none,Parent code,True,False,False,39
G67,Plastic,Industrial sheeting,Utility items,Industry,none,Parent code,False,False,False,40
G68,Plastic,Fiberglass fragments,Fishing,Where does it come from,0,Parent code,True,False,False,41
G7,Plastic,Drink bottles < = 0.5L,Packaging,Food and drink,Where does it come from,Parent code,True,True,False,4
G70,Plastic,Shotgun cartridges,Hunting,Where does it come from,0,Parent code,True,False,False,43
G71,Plastic,Shoes sandals,Clothing,Where does it come from,0,Parent code,True,False,False,44
G73,Plastic,Foamed items & pieces (not packaging or insulation related) made of foamed sponge-like material,Undefined,Utility,Recreation,Parent code,True,False,False,45
G74,Plastic,Foamed plastic  for thermal insulation or packing material,Undefined,Construction,Industrial,Parent code,False,False,False,45
G75,Plastic,Plastic/polystyrene pcs 0 - 2.5 cm,Undefined,Where does it come from,none,Parent code,True,False,False,117
G76,Plastic,Plastic/foamed polystyrene 2.5 > < 50,Undefined,Where does it come from,Indirect,Parent code,True,False,False,46
G78,Plastic,Plastic pieces 0.5cm - 2.5cm,Undefined,Where does it come from,none,Parent code,True,False,False,117
G79,Plastic,Plastic pieces 2.5cm - 50cm,Undefined,None,None,Parent code,True,False,False,46
G8,Plastic,Drink bottles  > 0.5L,Packaging,Food and drink,none,Parent code,True,True,False,4
G80,Plastic,Plastic pieces > 50cm,Undefined,Where does it come from,0,Parent code,True,False,False,47
G81,Plastic,Foamed polystyrene pieces 0.5cm - 2.5cm,Packaging,Construction,None,Parent code,False,False,False,117
G82,Plastic,Foam polystyrene; expanded beads/balls  2.5cm - 50cm,Undefined,Packaging,Construction,Parent code,False,False,False,46
G83,Plastic,Polystyrene pieces > 50cm,Undefined,Where does it come from,0,Parent code,True,False,False,47
G84,Plastic,CD or CD box,Packaging,Where does it come from,0,Parent code,True,False,False,48
G87,Plastic,"Tape, masking/duct/packing",Utility items,Where does it come from,none,Parent code,False,False,False,48
G88,Plastic,Telephone incl. parts,Utility items,Where does it come from,none,Parent code,True,False,False,48
G89,Plastic,Plastic construction waste,Construction,Where does it come from,0,Parent code,True,False,False,48
G9,Plastic,"Cleaner, chemical bottles & containers",Packaging,Construction,Industry,Parent code,True,True,False,5
G90,Plastic,Plastic flower pots,Agriculture,Where does it come from,0,Parent code,True,False,False,48
G91,Plastic,Biomass holder,Water Treatment,Where does it come from,none,Parent code,False,False,False,91
G92,Plastic,Bait containers,Fishing,Where does it come from,0,Parent code,True,False,False,48
G93,Plastic,"Cable ties; steggel, zip, zap straps",Utility items,Construction,none,Parent code,False,True,False,48
G94,Plastic,Table cloth,Utility items,Where does it come from,0,Parent code,True,False,False,48
G943,Plastic,"Fencing agriculture, plastic",Agriculture,Where does it come from,Where does it come from,Parent code,False,False,False,48
G95,Plastic,Cotton bud/swab sticks,Personal hygiene,Water Treatment,Indirect,Parent code,False,True,False,98
G96,Plastic,Sanitary pads /panty liners/tampons and applicators,Personal hygiene,Water Treatment,none,Parent code,False,True,False,99
G97,Plastic,Toilet fresheners,Personal hygiene,Where does it come from,0,Parent code,True,False,False,101
G98,Plastic,Diapers - wipes,Personal hygiene,Where does it come from,none,Parent code,True,True,False,102
G99,Plastic,Syringes - needles,Medical,Where does it come from,0,Parent code,True,False,False,104
G125,Rubber,Balloons and balloon sticks,Recreation,Where does it come from,Direct,Parent code,True,True,False,49
G126,Rubber,Balls,Recreation,Where does it come from,0,Parent code,True,False,False,53
G128,Rubber,Tires and belts,Vehicle,Where does it come from,0,Parent code,True,False,False,52
G129,Rubber,Inner tubes and rubber sheets,Vehicle,Where does it come from,0,Parent code,True,False,False,52
G131,Rubber,Rubber bands,Utility items,Where does it come from,0,Parent code,True,False,False,53
G132,Rubber,Bobbers (fishing),Fishing,Where does it come from,0,Parent code,True,False,False,53
G133,Rubber,Condoms incl. packaging,Personal hygiene,Water Treatment,none,Parent code,True,True,False,97
G134,Rubber,Other rubber,Undefined,Where does it come from,0,Parent code,True,False,False,53
G211,Unidentified,"Other medical items (swabs, bandaging, adhesive plaster)",Medical,Where does it come from,none,Parent code,True,True,False,105
G999,Unidentified,No objects found on this survey,Undefined,Where does it come from,0,Parent code,True,False,False,0
G159,Wood,Corks,Packaging,Where does it come from,0,Parent code,True,False,False,68
G160,Wood,Pallets,Packaging,Where does it come from,0,Parent code,True,False,False,69
G161,Wood,Processed timber,Packaging,Where does it come from,none,Parent code,False,False,False,69
G162,Wood,Crates,Packaging,Where does it come from,0,Parent code,True,False,False,70
G165,Wood,"Ice cream sticks, toothpicks, chopsticks",Packaging,Food and drink,none,Parent code,True,True,False,72
G166,Wood,Paint brushes,Utility items,Where does it come from,0,Parent code,True,False,False,73
G167,Wood,Matches or fireworks,Recreation,Where does it come from,0,Parent code,True,False,False,74
G170,Wood,Wood (processed),Undefined,Where does it come from,0,Parent code,True,False,False,74
G171,Wood,Other wood < 50cm,Undefined,Where does it come from,0,Parent code,True,False,False,74
G172,Wood,Other wood > 50cm,Undefined,Where does it come from,0,Parent code,True,False,False,75
G173,Wood,Other,Undefined,Where does it come from,0,Parent code,True,False,False,74
